"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
2001,515,0,1481,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2002,36,0,111,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2003,46,0,139,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2005,5102,0,11712,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2007,698,0,1645,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2009,163,0,539,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2010,105,0,341,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2011,174,0,536,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2012,183,98,268,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2014,4230,1876,6585,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2015,258,0,737,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2016,699,0,1746,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2017,522,0,1132,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2018,409,0,1218,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2020,378,0,1036,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2021,7,0,20,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SPINNER SHARK","NORTH ATLANTIC"
1988,89,0,269,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1989,42,0,124,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1990,127,0,309,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1994,90,0,263,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1995,118,0,353,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2007,996,0,2598,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2008,564,292,836,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2014,303,0,929,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2017,314,0,941,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2018,3,0,9,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2019,1006,0,2857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2022,443,0,1324,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2024,4642,0,12266,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2002,2,0,6,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BILLFISH FAMILY","NORTH ATLANTIC"
1983,17271,0,42490,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE MARLIN","NORTH ATLANTIC"
1981,23924,0,64062,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1984,2183,480,3885,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1985,4675,0,10568,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1987,18635,4829,32442,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1988,3235,0,7718,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1989,5251,753,9749,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1990,639,50,1227,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1991,645,0,1915,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1992,3838,0,11255,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1993,11916,0,28873,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1994,6895,0,19816,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1995,7428,0,20474,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1997,2544,0,7312,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1998,1056,0,2567,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1999,810,0,2390,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2000,5033,0,10104,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2002,16824,0,47557,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2003,1227,0,3568,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2004,283,0,802,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2007,5085,0,15769,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2013,50876,7499,94252,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2015,4482,0,10306,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
2023,653,0,1895,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ALBACORE","NORTH ATLANTIC"
1988,161,0,398,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1989,247,0,736,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1993,1773,0,5273,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1994,701,0,2061,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1995,323,0,929,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1996,2139,0,5557,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1998,2942,0,8403,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2002,1707,0,5115,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2013,7311,0,19894,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2014,223,0,642,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2018,8437,0,19815,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2019,16,0,45,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2020,1942,0,5843,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2021,1627,0,3588,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2023,2059,0,5602,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
2024,689,0,2072,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE TUNA","NORTH ATLANTIC"
1981,125922,29667,222177,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1982,407,0,1221,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1983,114678,3417,225939,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1984,419,0,1236,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1985,5217,0,11137,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1986,10672,2493,18850,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1987,18504,0,39974,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1988,800,77,1523,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1989,1519,307,2731,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1990,7501,0,15294,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1991,4032,981,7082,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1992,688,0,1438,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1993,4434,714,8154,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1994,2150,515,3785,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1995,4073,0,8423,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1997,381,0,981,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1999,15,0,45,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2000,14166,0,33713,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2001,1662,0,3395,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2002,1976,28,3923,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2003,4944,206,9683,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2004,1082,43,2122,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
