"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1997,1683,0,3573,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1998,1985,0,5627,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1999,2828,0,6586,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2000,4917,0,10266,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2001,811,0,2402,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2002,2482,0,6582,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2003,6989,0,14880,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2004,171,0,482,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2005,1116,0,3362,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2008,1058,0,3147,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2012,3872,0,11531,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2013,12507,0,26650,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2014,1745,0,4256,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2015,8386,0,23130,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2016,3337,0,9715,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2017,1555,0,4030,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2018,4921,0,13486,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2019,109,14,205,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2020,6519,0,18658,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2021,8308,0,16759,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2022,29884,12137,47632,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2023,22003,8505,35502,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
2024,8410,0,17691,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1984,918,139,1697,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC ANGEL SHARK","MID-ATLANTIC"
1985,4567,0,13518,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1986,1927,0,4500,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,621,0,1653,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1991,400,0,1193,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1992,278,0,750,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1998,1237,0,3223,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2008,459,0,1206,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2009,287,0,810,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2010,4204,0,12733,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2014,94,0,279,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2016,1919,0,5176,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2017,927,0,2578,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2018,834,0,2298,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2019,1244,0,2773,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2020,1838,55,3622,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2021,1414,0,4131,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2022,37,0,86,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,254,0,763,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BASKING SHARK","MID-ATLANTIC"
1992,896,0,2670,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKNOSE SHARK","MID-ATLANTIC"
1986,46,0,138,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1989,4356,0,11885,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1990,228,0,679,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1991,575,0,1820,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1994,1863,0,5523,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1995,1351,0,3503,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2001,2497,0,7488,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2004,1603,0,4415,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2007,4863,0,14377,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2008,197,0,574,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1981,3664,0,8934,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1983,8335,0,22108,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1984,456,0,1364,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1985,12082,0,27166,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1986,19726,0,40217,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1987,38981,0,87344,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1988,10997,0,24145,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1989,6135,0,14204,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1990,1445,0,2937,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1991,869,0,1927,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1992,8831,419,17244,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1993,4442,106,8778,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1994,1011,0,2683,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1996,27262,0,62315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1997,15570,2478,28663,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1998,10403,0,21351,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1999,13052,0,27916,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2000,10503,0,25079,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2001,1589,0,3882,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2003,1038,0,2577,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2007,2350,0,6873,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2008,228,0,679,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2010,1220,986,1454,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2013,3812,0,14535,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2015,34363,0,94844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1981,156,0,464,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1982,5828,0,16612,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1992,5034,0,15010,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2011,2123,0,6101,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2013,140,0,411,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2017,3750,0,11131,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1981,3673,0,9532,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1982,10743,0,24009,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1983,3738,0,8010,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1984,20986,0,48216,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1985,14440,0,31365,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1986,15691,3758,27624,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1987,11889,1939,21839,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1988,17521,0,41216,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1989,11052,3665,18439,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1990,6483,0,13256,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1991,3575,0,7625,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1992,6385,53,12717,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1994,6781,0,13786,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1995,8614,0,17715,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1996,1147,0,2526,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1997,8266,0,20012,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1998,3831,0,8352,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1999,19373,0,45574,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2001,6492,0,14418,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2002,3945,0,11553,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2003,2798,0,6850,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2005,5857,0,16189,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2008,5710,0,17239,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1986,21211,0,42912,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1988,58781,0,164313,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1982,30,0,90,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1986,74,0,219,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1989,2934,0,8593,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1994,3534,0,10476,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1981,851,0,2510,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1987,1038,0,2702,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1986,1363,0,3315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1987,640,0,1902,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1989,18,0,55,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","OCEANIC WHITETIP SHARK","MID-ATLANTIC"
1981,25029,0,56623,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1982,47680,15813,79548,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1983,93911,17340,170482,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1985,15454,0,31386,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1986,1771,0,5242,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1987,14890,2049,27731,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1988,938,0,2104,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1989,1315,0,3074,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1993,3232,0,8369,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1995,628,0,1896,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1996,200,0,596,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1981,25006,0,70391,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1982,20049,4409,35689,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1983,195379,4674,386084,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1984,9893,2525,17261,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1985,35552,12487,58617,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1986,101968,0,234074,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1987,7579,0,15199,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1988,25522,961,50083,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1989,5316,0,11223,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1990,25509,11710,39308,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1991,15117,4362,25873,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1992,64043,4293,123792,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1993,22257,6727,37787,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1994,12274,4624,19924,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1995,22693,10284,35103,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1996,12931,5251,20610,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1997,27334,14529,40138,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1998,28829,5888,51771,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1999,17048,3181,30915,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2000,13155,0,33730,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2001,34032,10019,58044,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2002,9922,704,19141,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2003,4236,425,8047,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2004,2733,0,6488,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2005,999,0,2795,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2006,7,0,21,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2007,3138,0,9201,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2008,4838,0,9844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2009,14697,0,31692,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2010,3735,0,7857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2012,998,0,2982,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2013,810,0,1898,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2014,992,0,2928,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2017,1907,0,5069,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2019,792,0,1939,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2020,237,0,704,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2009,12,0,38,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SCALLOPED HAMMERHEAD SHARK","MID-ATLANTIC"
1981,9707,0,26774,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1982,17981,0,36343,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1983,10685,0,27438,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1984,48135,0,119554,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1985,30865,6001,55729,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1986,31219,12067,50372,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1987,39021,4452,73590,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1988,21603,2295,40912,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1989,10797,4004,17591,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1990,8357,3525,13188,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1991,2241,0,4867,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1992,13789,2816,24762,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1993,21350,10261,32439,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1994,4096,0,8905,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1995,43936,13107,74766,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1996,15405,3267,27543,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1997,4417,0,9621,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1998,11685,1493,21877,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1999,2474,0,5806,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2000,17370,0,38547,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2001,4252,0,9177,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2002,8909,1051,16767,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2003,9727,0,21337,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2004,6826,0,19175,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2006,12460,0,34245,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2007,1129,399,1859,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2008,1061,0,2150,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2009,6317,0,13857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2010,6223,0,13553,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2012,578,0,1734,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2013,14831,0,35092,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2014,38609,2210,75009,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2015,32475,7651,57299,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2016,25183,0,51935,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2017,45851,0,102289,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2018,648,0,1904,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2019,3295,0,8318,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2020,4385,0,10325,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2021,448,0,1118,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2022,327,95,559,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1989,10581,0,32190,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SILKY SHARK","MID-ATLANTIC"
1983,455,0,1121,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1986,1893,0,4723,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1987,942,0,2793,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1989,2245,0,5466,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1990,501,0,1514,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1991,5,0,14,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
2013,1678,1270,2086,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
