"Var","EPU","Time","MeanCond"
"Acadian redfish","GB",1992,1.0185083203551
"Acadian redfish","GB",1993,1.01649152809394
"Acadian redfish","GB",1994,0.992627313228263
"Acadian redfish","GB",1995,1.05075215295716
"Acadian redfish","GB",1996,1.07060550728146
"Acadian redfish","GB",1997,0.976439485961475
"Acadian redfish","GB",1999,0.981536610453145
"Acadian redfish","GB",2002,0.940900665187282
"Acadian redfish","GB",2003,1.06871729957955
"Acadian redfish","GB",2004,0.978047049055898
"Acadian redfish","GB",2005,1.06732804081037
"Acadian redfish","GB",2007,0.9293109106082
"Acadian redfish","GB",2008,0.939462448274516
"Acadian redfish","GB",2010,0.958014164177872
"Acadian redfish","GB",2011,1.02562267472202
"Acadian redfish","GB",2012,0.953715647192907
"Acadian redfish","GB",2013,0.95257844856533
"Acadian redfish","GB",2014,0.997857740152731
"Acadian redfish","GB",2015,1.08011771018604
"Acadian redfish","GB",2016,0.987719743833001
"Acadian redfish","GB",2017,0.904231521681994
"Acadian redfish","GB",2018,0.970431065312544
"Acadian redfish","GB",2019,0.958144050448607
"Acadian redfish","GB",2021,1.08869110320615
"Acadian redfish","GB",2022,1.01074582544992
"Acadian redfish","GB",2023,0.9463679593803
"Acadian redfish","GB",2024,0.99063523661623
"Acadian redfish","GOM",1992,0.97822585648713
"Acadian redfish","GOM",1993,0.994486424293207
"Acadian redfish","GOM",1994,0.959641179699069
"Acadian redfish","GOM",1995,0.956172643048787
"Acadian redfish","GOM",1996,0.994906946770665
"Acadian redfish","GOM",1997,0.992505294353918
"Acadian redfish","GOM",1998,1.03358128876535
"Acadian redfish","GOM",1999,0.987500784151335
"Acadian redfish","GOM",2000,0.985628572842912
"Acadian redfish","GOM",2001,0.933394130643237
"Acadian redfish","GOM",2002,0.9341972221302
"Acadian redfish","GOM",2003,0.940148968089728
"Acadian redfish","GOM",2004,0.957174677187163
"Acadian redfish","GOM",2005,0.929320848540358
"Acadian redfish","GOM",2006,0.950198771797115
"Acadian redfish","GOM",2007,0.965384991197456
"Acadian redfish","GOM",2008,0.922867953369871
"Acadian redfish","GOM",2009,0.952377836924826
"Acadian redfish","GOM",2010,0.951678727976814
"Acadian redfish","GOM",2011,0.952193317248559
"Acadian redfish","GOM",2012,0.959022575936713
"Acadian redfish","GOM",2013,0.953033795715048
"Acadian redfish","GOM",2014,0.957927490087371
"Acadian redfish","GOM",2015,0.964259864983685
"Acadian redfish","GOM",2016,0.954520206640132
"Acadian redfish","GOM",2017,0.938420604910884
"Acadian redfish","GOM",2018,0.958974096448555
"Acadian redfish","GOM",2019,0.961207541151001
"Acadian redfish","GOM",2021,0.978190428008648
"Acadian redfish","GOM",2022,0.956190498621128
"Acadian redfish","GOM",2023,0.958850458106713
"Acadian redfish","GOM",2024,0.938210493010691
"Acadian redfish","SS",1992,1.00231386251113
"Acadian redfish","SS",1993,1.01763280831941
"Acadian redfish","SS",1994,1.01357967688924
"Acadian redfish","SS",1995,0.983880628754645
"Acadian redfish","SS",1996,1.05377914890149
"Acadian redfish","SS",1997,1.03584426257118
"Acadian redfish","SS",1998,1.04929761316043
"Acadian redfish","SS",1999,1.00811195564389
"Acadian redfish","SS",2000,0.967655706809697
"Acadian redfish","SS",2001,0.970873208365173
"Acadian redfish","SS",2002,1.01975053190656
"Acadian redfish","SS",2003,0.993734213667959
"Acadian redfish","SS",2004,0.994814258630021
"Acadian redfish","SS",2005,0.982598562150759
"Acadian redfish","SS",2006,0.960244564109133
"Acadian redfish","SS",2007,1.00150478508889
"Acadian redfish","SS",2008,0.965379678099339
"Acadian redfish","SS",2009,1.0086750526235
"Acadian redfish","SS",2010,0.971341547535971
"Acadian redfish","SS",2011,0.977935289019336
"Acadian redfish","SS",2012,0.98712530685281
"Acadian redfish","SS",2013,0.999969865559468
"Acadian redfish","SS",2014,0.957487263072522
"Acadian redfish","SS",2015,1.04045383285532
"Acadian redfish","SS",2016,0.991880064862942
"Acadian redfish","SS",2017,0.975269662601229
"Acadian redfish","SS",2019,0.964907587247108
"Acadian redfish","SS",2021,1.02651767550223
"Acadian redfish","SS",2022,1.00005825578496
"Acadian redfish","SS",2023,0.966694106134036
"Acadian redfish","SS",2024,0.95253304322272
"American plaice","GB",1992,1.05468437293292
"American plaice","GB",1993,1.11806311103408
