"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"RYPTICUS BISTRISPINUS","FRECKLED SOAPFISH",555,"FRSOAP",NA,NA,"8835030202",NA,"S",NA,"(MITCHILL, 1818)","AFS-1991",NA,NA,"Rypticus bistrispinus","Freckled Soapfish","555",1995-08-09,"BK",NA,NA
"RYPTICUS SUBBIFRENATUS","SPOTTED SOAPFISH",895,"SPSOAP",NA,NA,"8835030208",NA,"S",NA,"(GILL, 1861)","AFS-1991",NA,NA,"Rypticus subbifrenatus","Spotted Soapfish","895",1995-08-09,"BK",NA,NA
"SABELLA CRASSICORNIS",NA,NA,NA,"214130211010000","SABCRA","5001700801",NA,"S",NA,"SARS",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POMACENTRUS LEUCOSTICTUS","BEAUGREGORY",672,"BEAUG",NA,NA,"8835621230",NA,"S",NA,"MUELLER AND TROSCHEL","AFS-1991",NA,NA,"Pomacentrus leucostictus","Beaugregory","672",1995-08-09,"BK",NA,NA
"POMACENTRUS VARIABILIS","COCOA DAMSELFISH",854,"COCOA",NA,NA,"8835621233",NA,"S",NA,"CASTELNAU, 1855","AFS-1991",NA,NA,"Pomacentrus variabilis","Cocoa Damselfish","854",1995-08-09,"BK",NA,NA
"POMATOMUS SALTATRIX","BLUEFISH",135,"BLUE","823215901010000","POMSAL","8835250101",NA,"S",NA,"(LINNAEUS, 1766)","AFS-1991",NA,NA,"Pomatomus saltatrix","Bluefish","135",1995-08-09,"BK",NA,NA
"PONTINUS LONGISPINIS","LONGSPINE SCORPIONFISH",154,"LONSCOR",NA,NA,"8826010503",NA,"S",NA,"GOODE AND BEAN","AFS-1991",NA,NA,"Pontinus longispinis","Longspine Scorpionfish","154",1995-08-09,"BK",NA,NA
"PONTINUS RATHBUNI","HIGHFIN SCORPIONFISH",752,"HIGSCOR",NA,NA,"8826010505",NA,"S",NA,"GOODE AND BEAN","AFS-1991",NA,NA,"Pontinus rathbuni","Highfin Scorpionfish","752",1995-08-09,"BK",NA,NA
"PONTOGENEIA INERMIS",NA,NA,NA,"411012701010000","PONINE","6169201203",NA,"S",NA,"KROYER, 1838",NA,NA,"SINGLE SP. IN FAMILY IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PONTOPHILUS BREVIROSTRIS",NA,NA,NA,"411020503010000","PONBRE","6179220601",NA,"S",NA,"SMITH, 1882","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PONTOPHILUS NORVEGICUS","NORWEGIAN SHRIMP",299,NA,"411020503030000","PONNOR","6179220606",NA,"S",NA,"(M. SARS, 1861)","AFS-1989",NA,NA,"Pontophilus norvegicus","Norwegian Shrimp","299",1995-08-09,"BK",NA,NA
"PONTOPHILUS SP",NA,NA,NA,"411020503000000","PONTSP","61792206",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORCELLANIDAE","PORCELAIN CRAB UNCL",NA,NA,"411022900000000","PORFAM","618312",NA,"F",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORICHTHYS PLECTRODON","ATLANTIC MIDSHIPMAN",444,"MIDSHIP",NA,NA,"8783010108",NA,"S",NA,NA,"AFS-1991",NA,"|SV: NAME CHANGE AFS-1980","Porichthys porosissimus","Atlantic Midshipman","444",1995-08-09,"BK",NA,NA
"PORIFERA","SPONGE UNCL",NA,NA,"030000000000000","PORIFE","36",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORTUNIDAE","SWIMMING CRAB UNCL",320,"SWICRABU","411023000000000","PORFA1","618901",NA,"F",NA,NA,"AFS-1989",NA,"|SV: CORRECTED TO FAMILY NAME","Portunid sp","Swimming Crab Uncl","320",1998-12-31 23:00:00,"FPA",NA,NA
"PORTUNUS GIBBESII","IRIDESCENT SWIMMING CRAB",NA,NA,"411023006010000","PORGIB","6189010601",NA,"S",NA,"(STIMPSON, 1859)","AFS-1989",NA,"NODC Spelling error",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORTUNUS SAYI","SARGASSUM SWIMMING CRAB",NA,NA,"411023006030000","PORSAY","6189010602",NA,"S",NA,"(GIIBBES, 1850)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORTUNUS SP",NA,NA,NA,"411023006000000","PORTSP","61890106",NA,"G",NA,NA,"AFS-1989",NA,"POSS. CONF. WITH FAM. DU TO 'PORTUNID'",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PORTUNUS SPINICARPUS","LONGSPINE SWIMMING CRAB",NA,NA,"411023006040000","PORTS1","6189010603",NA,"S",NA,"(STIMPSON, 1871)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POTAMILLA NEGLECTA",NA,NA,NA,"214130210010000","POTNEG","5001700601",NA,"S",NA,"(SARS)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POTAMILLA RENIFORMIS",NA,NA,NA,"214130210020000","POTREN","5001700609",NA,"S",NA,"(LEUCKART)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRAUNUS FLEXUOSUS",NA,NA,NA,"411060312010000","PRAFLE","6153012201",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRAXILLELLA GRACILIS",NA,NA,NA,"214020310010000","PRAGRA","5001630901",NA,"S",NA,"(SARS)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRAXILLELLA SP",NA,NA,NA,"214020310000000","PRAXSP","50016309",NA,"G",NA,"VERRILL,1881",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRAXILLURA ORNATA",NA,NA,NA,"214020311010000","PRAORN","5001631803",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRIACANTHUS ARENATUS","BIGEYE",134,"BIGEYE",NA,NA,"8835170101",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Priacanthus arenatus","Bigeye","134",1995-08-09,"BK",NA,NA
"PRIACANTHUS CRUENTATUS","GLASSEYE SNAPPER",556,"GLASSEYE",NA,NA,"8835170102",NA,"S",NA,"(LACEPEDE)","AFS-1991",NA,NA,"Priacanthus cruentatus","Glasseye Snapper","556",1995-08-09,"BK",NA,NA
"PRIAPULUS CAUDATUS","PEANUT WORM",NA,NA,"111010102020000","PRICAU","7400010101",NA,"S",NA,NA,NA,NA,"SINGLE PRIAPULIDA SP IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRIONACE GLAUCA","BLUE SHARK",17,"BLUESH",NA,NA,"8708020601",NA,"S",NA,"(LINNAEUS, 1758)","AFS-1991",NA,NA,"Prionace glauca","Blue Shark","017",1995-08-09,"BK",NA,NA
"PRIONOSPIO SP",NA,NA,NA,"214150808000000","PRIOSP","50014305",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRIONOSPIO STEENSTRUPI",NA,NA,NA,"214150808090000","PRISTE","5001430506",NA,"S",NA,"MALMGREN","NODC",NA,"CORRECTED TYPO",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRIONOTUS ALATUS","SPINY SEAROBIN",764,"SPIROBIN",NA,NA,"8826020105",NA,"S",NA,"GOODE BEAN","AFS-1991",NA,NA,"Prionotus alatus","Spiny Searobin","764",1995-08-09,"BK",NA,NA
"PRIONOTUS CAROLINUS","NORTHERN SEAROBIN",171,"NORROBIN","823217803030000","PRICAR","8826020101",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Prionotus carolinus","Northern Searobin","171",1995-08-09,"BK",NA,NA
"PRIONOTUS EVOLANS","STRIPED SEAROBIN",172,"STRROBIN","823217803040000","PRIEVO","8826020102",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Prionotus evolans","Striped Searobin","172",1995-08-09,"BK",NA,NA
"PRIONOTUS RUBIO","BLACKWING SEAROBIN",768,"FINROBIN",NA,NA,"8826020118",NA,"S",NA,"JORDAN, 1886","AFS-1991",NA,"ALL BLACKFIN & BLACKWING SEAROBIN ON SURVEYS ARE P. RUBIO, CHECK & RECODE","Prionotus rubio","Blackfin Searobin","767",1995-08-09,"BK",NA,NA
"PRIONOTUS OPHRYAS","BANDTAIL SEAROBIN",765,"BANROBIN",NA,NA,"8826020113",NA,"S",NA,"JORDAN AND SWAIN","AFS-1991",NA,NA,"Prionotus ophryas","Bandtail Searobin","765",1995-08-09,"BK",NA,NA
"PRIONOTUS PARALATUS","MEXICAN SEAROBIN",274,"GULROBIN",NA,NA,"8826020114",NA,"S",NA,"GINSBURG","AFS-1991",NA,"|SV: COMMON CORRECTED TO AFS STANDARD","Prionotus paralatus","Gulf Searobin","274",1995-08-09,"BK",NA,NA
"PRIONOTUS ROSEUS","BLUESPOTTED SEAROBIN",766,"BLUROBIN",NA,NA,"8826020117",NA,"S",NA,"JORDAN AND EVERMANN","AFS-1991",NA,NA,"Prionotus roseus","Bluespotted Searobin","766",1995-08-09,"BK",NA,NA
"PRIONOTUS SCITULUS","LEOPARD SEAROBIN",769,"LEOROBIN",NA,NA,"8826020103",NA,"S",NA,"JORDAN AND GILBERT","AFS-1991",NA,NA,"Prionotus scitulus","Leopard Searobin","769",1995-08-09,"BK",NA,NA
"PRIONOTUS SP",NA,NA,NA,"823217803000000","PRIOS1","88260201",NA,"G",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PRIONOTUS STEARNSI","SHORTWING SEAROBIN",871,"SHOROBIN",NA,NA,"8826020121",NA,"S",NA,"JORDAN AND SWAIN","AFS-1991",NA,NA,"Prionotus stearnsi","Shortwing Searobin","871",1995-08-09,"BK",NA,NA
"PRIONOTUS TRIBULUS","BIGHEAD SEAROBIN",770,"BIGROBIN",NA,NA,"8826020104",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Prionotus tribulus","Bighead Searobin","770",1995-08-09,"BK",NA,NA
"PRISTIGENYS ALTA","SHORT BIGEYE",557,"SBIGEYE",NA,NA,"8835170201",NA,"S",NA,"(GILL)","AFS-1991",NA,NA,"Pristigenys alta","Short Bigeye","557",1995-08-09,"BK",NA,NA
"PRISTIPOMOIDES AQUILONARIS","WENCHMAN",595,"WENCH",NA,NA,"8835360701",NA,"S",NA,"(GOODE AND BEAN)","AFS-1991",NA,NA,"Pristipomoides aquilonaris","Wenchman","595",1995-08-09,"BK",NA,NA
"PROBOLOIDES HOLMESI",NA,NA,NA,"411012903020000","PROHOL","6169480801",NA,"S",NA,"BONSFIELD, 1973",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROBOLOIDES SP",NA,NA,NA,"411012903000000","PROBSP","61694808",NA,"G",NA,"DELLA VALLE, 1893",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROCESSA BERMUDENSIS","BERMUDA NIGHT SHRIMP",NA,NA,"411024201010000","PROBER","6179170102",NA,"S",NA,"(RANKIN, 1900)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROCESSIDAE","NIGHT SHRIMP UNCL",NA,NA,"411024200000000","PROFAM","617917",NA,"F",NA,"ORTMANN, 1869","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROGNICHTHYS GIBBIFRONS","BLUNTNOSE FLYINGFISH",470,"BLFLYING",NA,NA,"8803011201",NA,"S",NA,"(VALENCIENNES)","AFS-1991",NA,NA,"Prognichthys gibbifrons","Bluntnose Flyingfish","470",1995-08-09,"BK",NA,NA
"PROMETHICHTHYS PROMETHEUS","CONEJO",127,"CONEJO",NA,NA,"8850010901",NA,"S",NA,"(CUVIER AND VALENCIENNES)","AFS-1991",NA,NA,"Promethichthys prometheus","Conejo","127",1995-08-09,"BK",NA,NA
"PROPILIDIUM SP",NA,NA,NA,"514020603000000","PROPSP","51020703",NA,"G",NA,"FORBES AND HANLEY, 1849","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROTOHAUSTORIUS DEICHMANNAE",NA,NA,NA,"411011309010000","PRODEI","6169221201",NA,"S",NA,"BOUSFIELD, 1965",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PROTOHAUSTORIUS WIGLEYI",NA,NA,NA,"411011309020000","PROWIG","6169221202",NA,"S",NA,"BOUSFIELD, 1965",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSAMMONYX NOBILIS",NA,NA,NA,"411011809010000","PSANOB","6169345101",NA,"S",NA,"STIMPSON, 1853",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOCALANUS SP",NA,NA,NA,"411084305000000","PSEUSP","61180505",NA,"G",NA,"BOECK, 1872",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOCUMIDAE",NA,NA,NA,"411040600000000","PSEFAM","615406",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOHAUSTORIUS BOREALIS",NA,NA,NA,"411011310010000","PSEBOR","6169221301",NA,"S",NA,"BOUSFIELD, 1963",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOHAUSTORIUS CAROLINIENSIS",NA,NA,NA,"411011310020000","PSECAR","6169221302",NA,"S",NA,"BOUSFIELD, 1965",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PHYLLODOCIDA",NA,NA,NA,"214110000000000","PHYLLO","NONE",NA,NA,NA,NA,"FOX AND RUPPERT 1988",NA,"NODC LACKS THIS POLYCHAET ORDER",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PHYLLODOCIDAE",NA,NA,NA,"214111700000000","PHYFAM","500113",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PHYSICULUS FULVUS","METALLIC CODLING",82,"HAKELING",NA,NA,"8791010301",NA,"S",NA,"BEAN, 1884","AFS-1991",NA,"|SV: COMMON NAME CHANGE AFS-1990","Physiculus fulvus","Hakeling","082",1995-08-09,"BK",NA,NA
"PILUMNUS SAYI","SPINEBACK HAIRY CRAB",NA,NA,"411023407050000","PILSAY","6189021403",NA,"S",NA,"RATHBUN, 1877","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PILUMNUS SP",NA,NA,NA,"411023407000000","PILUSP","61890214",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNIXA CHAETOPTERANA","TUBE PEA CRAB",NA,NA,"411022802010000","PINCHA","6189060405",NA,"S",NA,"STIMPSON, 1860","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNIXA CYLINDRICA",NA,NA,NA,"411022802020000","PINCYL","6189060406",NA,"S",NA,"(SAY, 1818)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNIXA SAYANA",NA,NA,NA,"411022802030000","PINSAY","6189060409",NA,"S",NA,"STIMPSON, 1860","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNIXA SP",NA,NA,NA,"411022802000000","PINNSP","61890604",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNOTHERES SP",NA,NA,NA,"411022803000000","PINNS1","61890602",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PINNOTHERIDAE","PEA CRAB UNCL",NA,NA,"411022800000000","PINFAM","618906",NA,"F",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PISTA CRISTATA",NA,NA,NA,"214170507010000","PISCRI","5001680701",NA,"S",NA,"MULLER",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PITAR MORRHUANUS","FALSE QUAHOG",415,NA,NA,NA,"5515471201",NA,"S",NA,"LINSLEY,1848","AFS-1988",NA,"|SV: SPELLING CHANGED TO AFS-1988 STANDARD","Pitar morrhuana","False Quahog","415",1995-08-09,"BK",NA,NA
"PLACOPECTEN MAGELLANICUS","SEA SCALLOP",401,"SEASCAL","512060810010000","PLAMAG","5509050901",NA,"S",NA,"(GMELIN,1791)","AFS-1988",NA,"MONOTYPIC GENUS IN AREA |SV: SV NAME MODIFIED TO FH TYPE, SPP TYPO FIXED","Placopecten magelanicus (live)","Sea Scallop (Live)","401",1994-12-27 23:00:00,"RAR",NA,NA
"PLACOPECTEN MAGELLANICUS CLAPPER","SEA SCALLOP CLAPPER",400,NA,NA,NA,"NONE",NA,NA,NA,NA,"RSI-1996",NA,"SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Placopecten magelanicus (clapper)","Sea Scallop (Clapper)","400",1995-08-09,"BK",NA,NA
"PLACOPECTEN MAGELLANICUS VISCERA","SEA SCALLOP VISCERA",NA,NA,"512060810010007","PLAMA1","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLANKTON","PLANKTON UNCL",NA,NA,"960000000000000","PLANKT","NONE",NA,NA,NA,NA,"FH-1995",NA,"NON-PHYLETIC GROUP USED FOR FOOD HABITS",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLANTS","PLANT UNCL",NA,NA,"910000000000000","PLANTS","NONE",NA,NA,NA,NA,"FH-1995",NA,"FCDI GROUPING IS POLYPHYLETIC, INCLUDING THE ALGAES",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLASTIC","PLASTIC",NA,NA,"932020000000000","PLASTI","NONE",NA,NA,NA,NA,"FH-1995",NA,"FCDI GROUPING FOR NON-LIVING MATERIALS CONSUMED",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLASTIC BAG",NA,NA,NA,"932020101010000","PLABAG","NONE",NA,NA,NA,NA,"FH-1995",NA,"FCDI GROUPING FOR NON-LIVING MATERIALS CONSUMED",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLASTIC WRAP",NA,NA,NA,"932020101020000","PLAWRA","NONE",NA,NA,NA,NA,"FH-1995",NA,"FCDI GROUPING FOR NON-LIVING MATERIALS CONSUMED",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLATYHELMINTHES","FLAT WORM UNCL",NA,NA,"070000000000000","PLATYH","39",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLATYSQUILLA ENODIS",NA,NA,NA,"411110306010000","PLAENO","6191010301",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLECTRYPOPS RETROSPINIS","CARDINAL SOLDIERFISH",484,"CASOLD",NA,NA,"8810080401",NA,"S",NA,"(GUICHENOT)","AFS-1991",NA,NA,"Plectrypops retrospinis","Cardinal Soldierfish","484",1995-08-09,"BK",NA,NA
"PLEUROBRACHIA PILEUS","SEA GOOSEBERRY",NA,NA,"062020102010000","PLEPIL","3802010101",NA,"S",NA,"(MULLER, 1776)","AFS-1991",NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEUROBRANCHAEA SP",NA,NA,NA,"514011303000000","PLEUSP","51260203",NA,"G",NA,"LEUE,1813","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOPLEURONECTES AMERICANUS","WINTER FLOUNDER",106,"WINTERFL","823230310030000","PLEAME","8857041504",NA,"S",NA,"WALBAUM, 1792","AFS-1991",NA,NA,"Pleuronectes americanus","Winter Flounder","106",1998-10-26 23:00:00,"FPA",NA,NA
"LIMANDA FERRUGINEA","YELLOWTAIL FLOUNDER",105,"YTAIL","823230310020000","PLEFER","8857041506",NA,"S",NA,"(STORER, 1839)","AFS-1991",NA,"CORRECTED TYPO IN NAME |SV: NAME CHANGE AFS-1990","Pleuronectes ferrugineus","Yellowtail Flounder","105",1998-10-26 23:00:00,"FPA",NA,NA
"PLEURONECTIDAE","RIGHTEYE FLOUNDER UNCL",773,NA,"823230300000000","PLEFAM","885704",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Pleuronectidae sp","Righteye Flounder Uncl","773",1998-12-31 23:00:00,"FPA",NA,NA
"PLEURONECTIFORMES","FLOUNDER UNCL",100,"--DNU--","823230000000000","PLEORD","8855",NA,"O",NA,NA,"AFS-1991",NA,"|SV: CORRECTED TO BEST TAXONOMIC GROUP, CHECK AND RECODE IF POSSIBLE","Flounder uncl. . . . . . . . .dnu","Flounder Uncl","100",1998-12-31 23:00:00,"FPA",NA,NA
"PLEURONECTIFORMES EGGS","FLATFISH EGGS",NA,NA,"823230000000100","PLEEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEURONECTIFORMES LARVAE","FLATFISH LARVAE",NA,NA,"823230000000200","PLELAR","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEUROTOMELLA SP",NA,NA,NA,"514081005000000","PLEUS1","51060220",NA,"G",NA,"VERRILL,1873","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEUSTES PANOPLUS",NA,NA,NA,"411012503010000","PLEPAN","6169430405",NA,"S",NA,"KROYER, 1838",NA,NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEUSTIDAE",NA,NA,NA,"411012500000000","PLEFA1","616943",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PLEUSYMTES GLABER",NA,NA,NA,"411012506010000","PLEGLA","6169430503",NA,"S",NA,"BOECK, 1861",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PODOCERIDAE",NA,NA,NA,"411012600000000","PODFAM","616944",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PODOCEROPSIS NITIDA",NA,NA,NA,"411012304010000","PODNIT","6169260501",NA,"S",NA,"MYERS AND MCGRATH, 1982",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PODOCEROPSIS SP",NA,NA,NA,"411012304000000","PODOSP","61692605",NA,"G",NA,"BOECK, 1861",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POGONIAS CROMIS","BLACK DRUM",147,"BLADRUM",NA,NA,"8835440801",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,"|SV: EXTRA SPACE REMOVED","Pogonias  cromis","Black Drum","147",1995-08-09,"BK",NA,NA
"POLITOLANA CONCHARUM",NA,NA,NA,"411030402020000","POLCON","6161011201",NA,"S",NA,"(STIMPSON, 1853)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLITOLANA POLITA",NA,NA,NA,"411030402030000","POLPOL","6161011203",NA,"S",NA,"(STIMPSON, 1853)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLLACHIUS VIRENS","POLLOCK",75,"POLLOCK","823130215010000","POLVIR","8791030901",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Pollachius virens","Pollock","075",1995-08-09,"BK",NA,NA
"POLYCHAETA",NA,NA,NA,"214000000000000","POLYCH","5001",NA,"C",NA,NA,NA,NA,"NOTE, CONTAINS RECORDS ID'ED AS P. TUBES",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLYCIRRUS SP",NA,NA,NA,"214170508000000","POLYSP","50016808",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLYDORA SP",NA,NA,NA,"214150807000000","POLYS1","50014304",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLYIPNUS CLARUS",NA,251,"HATCH","823081602010000","POLAST","8759020201",NA,"S",NA,NA,"Harold 1994","SCHULTZ 1964 FWNA 4:269, FIG. 70",NA,"Polyipnus asteroides","Hatchetfish","251",1999-03-08 14:27:54,"JM",NA,NA
"POLYMETME THAEOCORYLA",NA,237,"POLYMET",NA,NA,"8759010701",NA,"S",NA,"(ALCOCK, 1898)","Parin/Borodulina 90","GREY 1964 FWNA 4:112, FIG. 26","FH-CORRECTED TYPO","Polymetme corytheola","Polymetme Corytheola","237",1999-03-08 14:27:54,"JM",NA,NA
"POLYMIXIA LOWEI","BEARDFISH",263,"BEARD","823070601010000","POLLOW","8809010101",NA,"S",NA,"GUENTHER","AFS-1991","WOODS & SONODA 1973 FWNA 6:274, FIG. 4",NA,"Polymixia lowei","Beardfish","263",1995-08-09,"BK",NA,NA
"POLYMIXIA NOBILIS","STOUT BEARDFISH",264,"STBEARD",NA,NA,"8809010102",NA,"S",NA,"LOWE","FWNA6-272","WOODS & SONODA 1973 FWNA 6:270, FIG. 2","|SV: NEEDS VERIFICATION","Polymixia nobilis","Stout Beardfish","264",1995-08-09,"BK",NA,NA
"POLYNOIDAE",NA,NA,NA,"214112000000000","POLFAM","500102",NA,"F",NA,"MALMGREN, 1867",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POLYPLACOPHORA","CHITON UNCL",NA,NA,"511020000000000","POLYPL","53",NA,"C",NA,NA,"AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"POMACANTHUS ARCUATUS","GRAY ANGELFISH",668,"GRAYANG",NA,NA,"8835550401",NA,"S",NA,"(LINNEUS)","AFS-1991",NA,NA,"Pomacanthus arcuatus","Gray Angelfish","668",1995-08-09,"BK",NA,NA
"POMACENTRIDAE","DAMSELFISH UNCL",619,"DAMSELU",NA,NA,"883562",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Pomacentridae sp","Damselfish Uncl","619",1998-12-31 23:00:00,"FPA",NA,NA
"PARAPENAEUS POLITUS","ROSE SHRIMP",NA,NA,"411022708010000","PARPOL","6177010503",NA,"S",NA,"SMITH, 1881","AFS-1989",NA,"FH-TYPO CORRECTED",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
