"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"TRAVISIA SP",NA,NA,NA,"214080103000000","TRAVSP","50015804",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TREMATODA","FLUKE WORM UNCL",NA,NA,"072000000000000","TREMAT","3930",NA,"C",NA,"RUDOLPHI, 1808",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TRIAKIS SEMIFASCIATA","LEOPARD SHARK",936,"LEOPSH",NA,NA,"8708020902",NA,"S",NA,"GIRARD, 1854","AFS-1991",NA,NA,"Triakis semifasciata","Leopard Shark","936",1995-08-09,"BK",NA,NA
"TRICHIURIDAE","SNAKE MACKEREL UNCL",822,"SNAKMACU",NA,NA,"885002",NA,"F",NA,NA,"AFS-1991",NA,"|SV: FAMILY REVISIONS AFS-1990","Gempylidae sp","Snake Mackerel Uncl","822",1998-12-31 23:00:00,"FPA",NA,NA
"TRICHIURUS LEPTURUS","ATLANTIC CUTLASSFISH",126,"CUTLASS",NA,NA,"8850020201",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Trichiurus lepturus","Atlantic Cutlassfish","126",1995-08-09,"BK",NA,NA
"TRICHOBRANCHIDAE",NA,NA,NA,"214170600000000","TRIFAM","500169",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TRICHOBRANCHUS GLACIALIS",NA,NA,NA,"214170602010000","TRIGLA","5001690201",NA,"S",NA,"MALMGREN",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TRIDONTA BOREALIS","BOREAL TRIDONTA",NA,NA,"512080202010000","TRIBOR","5515190204",NA,"S",NA,"SCHUMACHER,1817","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TRIGLIDAE","SEAROBIN UNCL",174,"ROBINU","823217800000000","TRIFA1","882602",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Triglidae uncl","Searobin  Uncl","174",1998-12-31 23:00:00,"FPA",NA,NA
"TRIGLOPS MURRAYI","MOUSTACHE SCULPIN",161,"MOUSCUL","823212336030000","TRIMUR","8831023807",NA,"S",NA,"GUNTHER","AFS-1991",NA,NA,"Triglops murrayi","Moustache Sculpin","161",1995-08-09,"BK",NA,NA
"TRINECTES MACULATUS","HOGCHOKER",118,"CHOKER","823230403020000","TRIMAC","8858010101",NA,"S",NA,"(BLOCH AND SCHNEIDER)","AFS-1991",NA,NA,"Trinectes maculatus","Hogchoker","118",1995-08-09,"BK",NA,NA
"TROCHOCHAETA SP",NA,NA,NA,"214150901000000","TROCSP","50014502",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TUBULARIA SP",NA,NA,NA,"051011303000000","TUBUSP","37030302",NA,"G",NA,"LINNAEUS,1758","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TYLOSURUS CROCODILUS","HOUNDFISH",215,"HOUND",NA,NA,"8803020302",NA,"S",NA,"(LESUEUR, 1821)",NA,NA,"|SV: CHANGED TO CORRECT SYNONYM","Strongylura raphidoma","Houndfish","215",1995-08-09,"BK",NA,NA
"STREBLOSPIO BENEDICTI",NA,NA,NA,"214150815010000","STRBEN","5001431801",NA,"S",NA,"WEBSTER, 1879","NODC",NA,"FH: CORRECTED TYPO, MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STRIGILLA SP",NA,NA,NA,"512082704000000","STRISP","55153103",NA,"G",NA,"TURTON,1822","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STRING",NA,NA,NA,"932020501010000","STRING","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE FOR HUMAN TRASH IN STOMACHS",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STROMATEIDAE","BUTTERFISH UNCL",750,"BUTTERU","823217400000000",NA,"885103",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Stromateidae sp","Butterfish Uncl","750",1999-03-08 14:27:55,"FPA",NA,NA
"STRONGYLOCENTROTUS DROEBACHIENSIS","GREEN SEA URCHIN",NA,NA,"612020201010000","STRDRO","8149030201",NA,"S",NA,"(O. F. MUELLER, 1776)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STRONGYLURA MARINA","ATLANTIC NEEDLEFISH",471,"ATNEED",NA,NA,"8803020201",NA,"S",NA,"(WALBAUM)","AFS-1991",NA,NA,"Strongylura marina","Atlantic Needlefish","471",1995-08-09,"BK",NA,NA
"STYLOCHEIRON SP",NA,NA,NA,"411050107000000","STYLSP","61740207",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STYROFOAM","STYROFOAM",NA,NA,"932020330300000","STYROF","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE FOR HUMAN TRASH IN STOMACHS",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYACIUM GUNTERI","SHOAL FLOUNDER",791,"SHOALFL",NA,NA,"8857031301",NA,"S",NA,"GINSBURG","AFS-1991",NA,NA,"Syacium gunteri","Shoal Flounder","791",1995-08-09,"BK",NA,NA
"SYACIUM MICRURUM","CHANNEL FLOUNDER",792,"CHANFL",NA,NA,"8857031302",NA,"S",NA,"RANZANI","AFS-1991",NA,NA,"Syacium micrurum","Channel Flounder","792",1995-08-09,"BK",NA,NA
"SYACIUM PAPILLOSUM","DUSKY FLOUNDER",793,"DUSKYFL",NA,NA,"8857031303",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Syacium papillosum","Dusky Flounder","793",1995-08-09,"BK",NA,NA
"SYLLIDAE",NA,NA,NA,"214112500000000","SYLFAM","500123",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYLLIDES SP",NA,NA,NA,"214112511000000","SYLLSP","50012315",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYLLIS CORNUTA",NA,NA,NA,"214112512020000","SYLCOR","5001230306",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYLLIS SP",NA,NA,NA,"214112512000000","SYLLS1","50012303",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYMPHURUS CIVITATUS","OFFSHORE TONGUEFISH",797,"OFFTONG",NA,NA,"8858020102",NA,"S",NA,"GINSBURG","AFS-1991",NA,NA,"Symphurus civitatus","Offshore Tonguefish","797",1995-08-09,"BK",NA,NA
"SYMPHURUS DIOMEDIANUS","SPOTTEDFIN TONGUEFISH",798,"FINTONG",NA,NA,"8858020103",NA,"S",NA,"(GOODE AND BEAN)","AFS-1991",NA,NA,"Symphurus diomedianus","Spottedfin Tonguefish","798",1995-08-09,"BK",NA,NA
"SYMPHURUS MARGINATUS","SLENDER TONGUEFISH",821,"SLENTONG",NA,NA,"8858020104",NA,"S",NA,NA,NA,NA,"|SV: UNKOWN SP, DUP OF 828, CHECK LOGS AND RECODE, DNU 821 OR 828","Symphurus marginatus","Slender Tonguefish","821",1995-08-09,"BK",NA,NA
"SYMPHURUS MINOR","LARGESCALE TONGUEFISH",799,"LARTONG",NA,NA,"8858020105",NA,"S",NA,"GINSBURG","AFS-1991",NA,NA,"Symphurus minor","Largescale Tonguefish","799",1995-08-09,"BK",NA,NA
"SYMPHURUS PLAGIUSA","BLACKCHEEK TONGUEFISH",825,"BLATONG","823230201010000",NA,"8858020101",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,"FH TYPO CORRECTED","Symphurus plagiusa","Blackcheek Tonguefish","825",1995-08-09,"BK",NA,NA
"SYMPHURUS PUSILLUS","NORTHERN TONGUEFISH",826,"NORTONG",NA,NA,"8858020109",NA,"S",NA,"(GOODE AND BEAN)","AFS-1991",NA,NA,"Symphurus pusillus","Northern Tonguefish","826",1995-08-09,"BK",NA,NA
"SYMPHURUS SP","TONGUEFISH UNCL",221,"TONGUEU","823230401000000","SYMPSP","88580201",NA,"G",NA,NA,"AFS-1991",NA,"|SV: NOTE AFS-90 LUMPING OF SOLES AND TONGUEFISHES","Symphurus sp","Tonguefish  Uncl","221",1998-12-31 23:00:00,"FPA",NA,NA
"SYMPHURUS UROSPILUS","SPOTTAIL TONGUEFISH",827,"TAILTONG",NA,NA,"8858020110",NA,"S",NA,"GINSBURG","AFS-1991",NA,NA,"Symphurus urospilus","Spottail Tonguefish","827",1995-08-09,"BK",NA,NA
"SYNAGROPS BELLUS","BLACKMOUTH BASS",114,"MOUTHBAS",NA,NA,"8835181401",NA,"S",NA,NA,"AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1980, CHECK LOGS ARE REMOVE DUP CODE 560","Synagrops bella","Blackmouth Bass","114",1995-08-09,"BK",NA,NA
"SYNAGROPS SPINOSUS","KEELCHEEK BASS",137,"SPINOSA",NA,NA,"8835181403",NA,"S",NA,NA,"AFS-1991",NA,"|SV: TAXON REVISION AFS-1990, VERY UNLIKELY, CHECK LOGS","Synagrops spinosa","Synagrops Spinosa","137",1995-08-09,"BK",NA,NA
"SYNAPHOBRANCHIDAE","CUTTHROAT EEL UNCL",NA,NA,"823031000000000","SYNFAM","874115",NA,"F",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNAPHOBRANCHUS KAUPI","SLATJAW CUTTHROAT EEL",NA,NA,"823031001020000","SYNKAU","8741150104",NA,"S",NA,"JOHNSON, 1862","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNCHELIDIUM AMERICANUM",NA,NA,NA,"411012003010000","SYNAME","6169371401",NA,"S",NA,"BOUSFIELD, 1973",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNCHELIDIUM SP",NA,NA,NA,"411012003000000","SYNCSP","61693714",NA,"G",NA,"SARS, 1895",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNGNATHIDAE","PIPEFISH SEAHORSE UNCL",421,"PIPEU","823140600000000","SYNFA1","882002",NA,"F",NA,NA,"AFS-1991",NA,"|SV: NOTE, ALL SEAHORSES ARE HIPPOCAMPUS SP.","Syngnathidae sp","Pipefish Seahorse Uncl","421",1998-12-31 23:00:00,"FPA",NA,NA
"SYNGNATHUS FLORIDAE","DUSKY PIPEFISH",494,"DUPIPE",NA,NA,"8820020102",NA,"S",NA,"(JORDAN AND GILBERT)","AFS-1991",NA,NA,"Syngnathus floridae","Dusky Pipefish","494",1995-08-09,"BK",NA,NA
"SYNGNATHUS FUSCUS","NORTHERN PIPEFISH",116,"NOPIPE","823140606070000","SYNFUS","8820020103",NA,"S",NA,"STORER","AFS-1991",NA,NA,"Syngnathus fuscus","Northern Pipefish","116",1995-08-09,"BK",NA,NA
"SYNGNATHUS LOUISIANAE","CHAIN PIPEFISH",495,"CHPIPE",NA,NA,"8820020104",NA,"S",NA,"GUENTHER","AFS-1991",NA,NA,"Syngnathus louisianae","Chain Pipefish","495",1995-08-09,"BK",NA,NA
"SYNGNATHUS SP",NA,NA,NA,"823140606000000","SYNGSP","88200201",NA,"G",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNGNATHUS SPRINGERI","BULL PIPEFISH",496,"BUPIPE",NA,NA,"8820020109",NA,"S",NA,"HERALD","AFS-1991",NA,NA,"Syngnathus springeri","Bull Pipefish","496",1995-08-09,"BK",NA,NA
"SYNIDOTEA SP",NA,NA,NA,"411030607000000","SYNISP","61620202",NA,"G",NA,"HARGER,1878",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYNODONTIDAE","LIZARDFISH UNCL",852,"LIZU","823180800000000","SYNFA2","876202",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Synodontidae sp","Lizardfish Uncl","852",1998-12-31 23:00:00,"FPA",NA,NA
"SYNODUS FOETENS","INSHORE LIZARDFISH",435,"INSLIZ",NA,NA,"8762020101",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Synodus foetens","Inshore Lizardfish","435",1995-08-09,"BK",NA,NA
"SYNODUS INTERMEDIUS","SAND DIVER",436,"SDIVER",NA,NA,"8762020102",NA,"S",NA,"AGASSIZ","AFS-1991",NA,NA,"Synodus intermedius","Sand Diver","436",1995-08-09,"BK",NA,NA
"SYNODUS POEYI","OFFSHORE LIZARDFISH",437,"OFFLIZ",NA,NA,"8762020104",NA,"S",NA,"JORDAN","AFS-1991",NA,NA,"Synodus poeyi","Offshore Lizardfish","437",1995-08-09,"BK",NA,NA
