"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,156,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"2",1982,5828,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"3",1992,5034,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"4",2011,2123,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"5",2013,140,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"6",2017,3750,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
