"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1985,4567,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"2",1986,1927,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"3",1989,621,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"4",1991,400,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"5",1992,278,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"6",1998,1237,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"7",2008,459,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"8",2009,287,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"9",2010,4204,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"10",2014,94,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"11",2016,1919,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"12",2017,927,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"13",2018,834,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"14",2019,1244,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"15",2020,1838,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"16",2021,1414,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"17",2022,37,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
