"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1985,200,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"2",1986,3093,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"3",1989,485,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"4",1990,501,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"5",2015,1480,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
