"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1986,46,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"2",1989,4356,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"3",1990,228,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"4",1991,575,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"5",1994,1863,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"6",1995,1351,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"7",2001,2497,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"8",2004,1603,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"9",2007,4863,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
"10",2008,197,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLACKTIP SHARK"
