"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1985,506,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"2",1986,2916,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"3",1987,1755,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"4",1988,89,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"5",1989,5559,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"6",1990,982,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"7",1992,627,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"8",1994,2217,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"9",1995,118,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"10",1996,2772,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"11",1997,3677,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"12",1999,10313,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"13",2000,526,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"14",2002,5054,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"15",2005,170,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"16",2006,4504,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"17",2007,4656,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"18",2008,1217,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"19",2009,9878,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"20",2010,1005,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"21",2014,9626,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"22",2015,41800,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"23",2016,11114,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"24",2017,11280,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"25",2018,4475,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"26",2019,9196,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"27",2020,1546,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"28",2021,404,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"29",2022,5811,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"30",2023,1135,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"31",2024,4642,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
