"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,25006,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"2",1982,20049,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"3",1983,197617,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"4",1984,9893,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"5",1985,35552,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"6",1986,101968,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"7",1987,8379,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"8",1988,25522,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"9",1989,5316,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"10",1990,25509,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"11",1991,15117,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"12",1992,64203,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"13",1993,22257,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"14",1994,12274,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"15",1995,22693,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"16",1996,12931,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"17",1997,27334,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"18",1998,28829,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"19",1999,18031,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"20",2000,13155,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"21",2001,34032,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"22",2002,9922,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"23",2003,4236,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"24",2004,2733,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"25",2005,999,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"26",2006,7,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"27",2007,3138,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"28",2008,4838,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"29",2009,14697,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"30",2010,3735,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"31",2012,998,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"32",2013,810,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"33",2014,992,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"34",2017,1907,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"35",2019,792,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"36",2020,237,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
