"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,3673,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"2",1982,10743,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"3",1983,3738,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"4",1984,20986,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"5",1985,14440,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"6",1986,15691,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"7",1987,11889,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"8",1988,17521,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"9",1989,11052,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"10",1990,6483,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"11",1991,3872,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"12",1992,6385,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"13",1994,6781,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"14",1995,8614,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"15",1996,1147,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"16",1997,8266,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"17",1998,3831,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"18",1999,19373,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"19",2001,6492,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"20",2002,3945,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"21",2003,2798,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"22",2005,5857,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"23",2008,5710,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"24",2023,171,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
