"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1988,289,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"2",1991,297,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"3",1992,111,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"4",2015,348,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"5",2021,2221,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"6",2022,9919,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"7",2023,1799,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"8",2024,1382,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
