"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",2023,662,"Recreational","Socioeconomic","total_recreational_catch_n","n","WHITE SHARK"
"2",2024,27,"Recreational","Socioeconomic","total_recreational_catch_n","n","WHITE SHARK"
