"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,1639,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"2",1982,6832,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"3",1984,5371,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"4",1987,7249,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"5",1997,12683,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"6",2005,15,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"7",2007,15876,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"8",2012,17510,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"9",2013,809,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"10",2015,49335,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"11",2016,237,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"12",2018,3204,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"13",2020,1246,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"14",2022,10279,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"15",2024,89045,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
