"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1988,89,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"2",1989,42,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"3",1990,127,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"4",1994,90,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"5",1995,118,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"6",1997,333,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"7",1999,13,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"8",2007,1280,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"9",2008,564,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"10",2012,128,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"11",2014,303,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"12",2015,3699,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"13",2016,3048,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"14",2017,314,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"15",2018,1299,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"16",2019,1622,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"17",2021,86,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"18",2022,1121,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"19",2023,336,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"20",2024,4836,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
