"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1982,48741,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"2",1983,2238,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"3",1985,9416,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"4",1986,21413,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"5",1987,801,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"6",1988,758,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"7",1989,2601,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"8",1990,23,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"9",1991,2576,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"10",1992,460,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"11",1993,385,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"12",1994,1539,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"13",1995,10897,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"14",1996,4259,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"15",1997,2033,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"16",1998,2335,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"17",1999,10048,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"18",2000,593,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"19",2001,22323,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"20",2002,350,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"21",2007,743,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"22",2009,1446,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"23",2011,9946,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"24",2013,1505,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"25",2015,15906,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"26",2016,1106,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"27",2017,9,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"28",2019,1074,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"29",2020,8296,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"30",2021,1,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"31",2022,16993,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"32",2023,1355,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"33",2024,139529,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
