"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1994,301,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"2",2011,32,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"3",2016,7149,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"4",2017,2188,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"5",2018,4,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"6",2019,1159,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"7",2020,1171,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"8",2021,8111,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"9",2022,2878,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"10",2023,486,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"11",2024,13205,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
