"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,9707,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"2",1982,17981,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"3",1983,12298,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"4",1984,49438,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"5",1985,33886,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"6",1986,33416,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"7",1987,73531,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"8",1988,23292,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"9",1989,14782,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"10",1990,11694,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"11",1991,7743,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"12",1992,19634,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"13",1993,28743,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"14",1994,20954,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"15",1995,63626,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"16",1996,23871,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"17",1997,13190,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"18",1998,33075,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"19",1999,34598,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"20",2000,59630,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"21",2001,27699,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"22",2002,38419,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"23",2003,19180,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"24",2004,39906,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"25",2005,2596,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"26",2006,45208,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"27",2007,1340,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"28",2008,1061,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"29",2009,10141,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"30",2010,14714,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"31",2011,29241,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"32",2012,24585,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"33",2013,28801,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"34",2014,105446,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"35",2015,55823,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"36",2016,72976,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"37",2017,52327,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"38",2018,68958,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"39",2019,4453,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"40",2020,7875,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"41",2021,16801,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"42",2022,13399,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"43",2023,3779,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
"44",2024,42,"Recreational","Socioeconomic","total_recreational_catch_n","n","SHORTFIN MAKO"
