"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1983,352,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"2",1985,4567,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"3",1986,48980,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"4",1987,401,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"5",1989,621,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"6",1991,737,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"7",1992,278,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"8",1998,1237,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"9",2006,459,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"10",2008,10890,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"11",2009,1617,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"12",2010,4218,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"13",2011,2889,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"14",2012,76263,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"15",2014,178,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"16",2015,1036,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"17",2016,2512,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"18",2017,7037,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"19",2018,6213,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"20",2019,3824,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"21",2020,5981,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"22",2021,2912,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"23",2022,225,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"24",2023,3035,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
"25",2024,8992,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC SHARPNOSE SHARK"
