"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1982,11323,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"2",1983,267,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"3",1985,2173,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"4",1986,27529,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"5",1987,1791,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"6",2010,4416,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"7",2017,12929,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
"8",2024,376,"Recreational","Socioeconomic","total_recreational_catch_n","n","NURSE SHARK"
