"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,320,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"2",1982,15856,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"3",1983,705,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"4",1985,200,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"5",1986,4247,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"6",1987,429,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"7",1989,485,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"8",1990,691,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"9",1998,2055,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"10",2001,127,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"11",2002,2113,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"12",2006,24,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"13",2007,93,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"14",2008,165,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"15",2009,444,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"16",2010,128,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"17",2011,4921,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"18",2015,14134,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"19",2016,64,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"20",2018,1195,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"21",2019,1290,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"22",2020,2077,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"23",2022,86,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
"24",2023,285,"Recreational","Socioeconomic","total_recreational_catch_n","n","TIGER SHARK"
