"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,113018,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"2",1982,184342,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"3",1983,673748,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"4",1984,150112,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"5",1985,123920,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"6",1986,303261,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"7",1987,168564,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"8",1988,132793,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"9",1989,37438,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"10",1990,103315,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"11",1991,63003,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"12",1992,168921,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"13",1993,158987,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"14",1994,90223,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"15",1995,93080,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"16",1996,71356,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"17",1997,185272,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"18",1998,192735,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"19",1999,140642,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"20",2000,74206,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"21",2001,159672,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"22",2002,412465,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"23",2003,289258,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"24",2004,77906,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"25",2005,237282,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"26",2006,31855,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"27",2007,271432,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"28",2008,129727,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"29",2009,636796,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"30",2010,194198,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"31",2011,103650,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"32",2012,101559,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"33",2013,97761,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"34",2014,150377,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"35",2015,131589,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"36",2016,169249,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"37",2017,242989,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"38",2018,76912,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"39",2019,119187,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"40",2020,199437,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"41",2021,36539,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"42",2022,62153,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"43",2023,226798,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
"44",2024,77894,"Recreational","Socioeconomic","total_recreational_catch_n","n","SANDBAR SHARK"
