"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1984,2754,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"2",1999,883,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"3",2002,1917,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"4",2015,1815,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"5",2018,1503,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"6",2019,1497,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"7",2020,449,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"8",2021,442,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"9",2022,1931,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"10",2023,11,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"11",2024,184,"Recreational","Socioeconomic","total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
