"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1983,455,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"2",1986,8756,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"3",1987,942,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"4",1989,2254,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"5",1990,563,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"6",1991,20,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"7",1992,347,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"8",2013,1678,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"9",2022,101,"Recreational","Socioeconomic","total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
