"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,851,"Recreational","Socioeconomic","total_recreational_catch_n","n","LEMON SHARK"
"2",1983,359,"Recreational","Socioeconomic","total_recreational_catch_n","n","LEMON SHARK"
"3",1987,2076,"Recreational","Socioeconomic","total_recreational_catch_n","n","LEMON SHARK"
"4",1988,4511,"Recreational","Socioeconomic","total_recreational_catch_n","n","LEMON SHARK"
"5",2012,970,"Recreational","Socioeconomic","total_recreational_catch_n","n","LEMON SHARK"
