"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1982,30,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"2",1986,6595,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"3",1989,2934,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"4",1994,3534,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"5",2016,6171,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"6",2018,60,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"7",2021,177,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
"8",2023,353,"Recreational","Socioeconomic","total_recreational_catch_n","n","GREAT HAMMERHEAD"
