"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,93257,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"2",1982,55089,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"3",1983,496871,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"4",1984,58774,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"5",1985,18272,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"6",1986,5118,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"7",1987,26708,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"8",1988,64227,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"9",1989,1543,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"10",1990,33,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"11",1991,462,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"12",1992,4641,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"13",1993,5309,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"14",1994,3694,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"15",1995,1294,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"16",1996,464,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"17",2002,198,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"18",2003,3418,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"19",2005,1777,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"20",2007,550,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"21",2009,7939,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"22",2010,20743,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"23",2011,2472,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"24",2012,1626,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"25",2013,325,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"26",2014,1124,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"27",2015,29699,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"28",2016,54,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"29",2017,2494,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"30",2018,3506,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"31",2019,52191,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"32",2020,1889,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"33",2021,7695,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"34",2022,29,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"35",2023,3320,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"36",2024,6663,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
