"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,156,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"2",1982,5828,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"3",1985,11751,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"4",1986,14723,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"5",1992,5034,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"6",2002,694,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"7",2008,3037,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"8",2009,22335,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"9",2010,253,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"10",2011,11660,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"11",2012,1789,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"12",2013,140,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"13",2015,48,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"14",2017,4385,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"15",2018,187,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"16",2020,4185,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
"17",2022,1572,"Recreational","Socioeconomic","total_recreational_catch_n","n","BULL SHARK"
