"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1984,6527,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"2",1985,1270,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"3",1986,9470,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"4",1987,1755,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"5",1989,5517,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"6",1990,855,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"7",1992,627,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"8",1993,1754,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"9",1994,2127,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"10",1996,2772,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"11",1997,4459,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"12",1999,12260,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"13",2000,2541,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"14",2001,1589,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"15",2002,5054,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"16",2005,170,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"17",2006,14700,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"18",2007,3670,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"19",2008,16462,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"20",2009,13065,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"21",2010,1093,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"22",2012,13019,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"23",2013,577,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"24",2014,32881,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"25",2015,55574,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"26",2016,33188,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"27",2017,19145,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"28",2018,5101,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"29",2019,9288,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"30",2020,9581,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"31",2021,10152,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"32",2022,7136,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"33",2023,5770,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
"34",2024,7301,"Recreational","Socioeconomic","total_recreational_catch_n","n","THRESHER SHARK"
