"","Time","Var","Value","EPU"
"1",2023,"BAYS_HMS Landings",126.61,"NE"
"2",2023,"Bluefin Tuna_HMS Landings",767.89,"NE"
"3",2023,"Pelagic Sharks_HMS Landings",1.43,"NE"
"4",2023,"Smoothhound Sharks_HMS Landings",NA,"NE"
"5",2023,"Swordfish_HMS Landings",60.27,"NE"
"6",2023,"BAYS_HMS Revenue",1150467.71,"NE"
"7",2023,"Bluefin Tuna_HMS Revenue",8403670.28,"NE"
"8",2023,"Pelagic Sharks_HMS Revenue",NA,"NE"
"9",2023,"Smoothhound Sharks_HMS Revenue",NA,"NE"
"10",2023,"Swordfish_HMS Revenue",447582.95,"NE"
"11",2023,"BAYS_HMS Landings",921.43,"MAB"
"12",2023,"Bluefin Tuna_HMS Landings",285.17,"MAB"
"13",2023,"Large Coastal Sharks_HMS Landings",130.93,"MAB"
"14",2023,"Pelagic Sharks_HMS Landings",27.8,"MAB"
"15",2023,"Small Coastal Sharks_HMS Landings",70.86,"MAB"
"16",2023,"Smoothhound Sharks_HMS Landings",609.58,"MAB"
"17",2023,"Swordfish_HMS Landings",259.95,"MAB"
"18",2023,"BAYS_HMS Revenue",9268924.54,"MAB"
"19",2023,"Bluefin Tuna_HMS Revenue",3129858.96,"MAB"
"20",2023,"Large Coastal Sharks_HMS Revenue",189213.6,"MAB"
"21",2023,"Pelagic Sharks_HMS Revenue",41584.37,"MAB"
"22",2023,"Small Coastal Sharks_HMS Revenue",116068.21,"MAB"
"23",2023,"Smoothhound Sharks_HMS Revenue",920351.35,"MAB"
"24",2023,"Swordfish_HMS Revenue",2212892.26,"MAB"
"25",2023,"BAYS_HMS Landings",126.61,"NE"
"26",2023,"Bluefin Tuna_HMS Landings",767.89,"NE"
"27",2023,"Pelagic Sharks_HMS Landings",1.43,"NE"
"28",2023,"Smoothhound Sharks_HMS Landings",NA,"NE"
"29",2023,"Swordfish_HMS Landings",60.27,"NE"
"30",2023,"BAYS_HMS Revenue",1150467.71,"NE"
"31",2023,"Pelagic Sharks_HMS Revenue",NA,"NE"
"32",2023,"Smoothhound Sharks_HMS Revenue",NA,"NE"
"33",2023,"Swordfish_HMS Revenue",447582.95,"NE"
"34",2022,"BAYS_HMS Landings",92.38,"NE"
"35",2022,"Bluefin Tuna_HMS Landings",806.52,"NE"
"36",2022,"Pelagic Sharks_HMS Landings",NA,"NE"
"37",2022,"Smoothhound Sharks_HMS Landings",1.06,"NE"
"38",2022,"Swordfish_HMS Landings",72.44,"NE"
"39",2022,"BAYS_HMS Revenue",890062.94,"NE"
"40",2022,"Bluefin Tuna_HMS Revenue",9172732.33,"NE"
"41",2022,"Pelagic Sharks_HMS Revenue",NA,"NE"
"42",2022,"Smoothhound Sharks_HMS Revenue",1062.91,"NE"
"43",2022,"Swordfish_HMS Revenue",537356.26,"NE"
"44",2022,"BAYS_HMS Landings",999.87,"MAB"
"45",2022,"Bluefin Tuna_HMS Landings",262.07,"MAB"
"46",2022,"Large Coastal Sharks_HMS Landings",118.69,"MAB"
"47",2022,"Pelagic Sharks_HMS Landings",35.41,"MAB"
"48",2022,"Small Coastal Sharks_HMS Landings",48.03,"MAB"
"49",2022,"Smoothhound Sharks_HMS Landings",436.71,"MAB"
"50",2022,"Swordfish_HMS Landings",347.65,"MAB"
"51",2022,"BAYS_HMS Revenue",10152967,"MAB"
"52",2022,"Bluefin Tuna_HMS Revenue",3100591.6,"MAB"
"53",2022,"Large Coastal Sharks_HMS Revenue",164832.32,"MAB"
"54",2022,"Pelagic Sharks_HMS Revenue",78544.16,"MAB"
"55",2022,"Small Coastal Sharks_HMS Revenue",98004.14,"MAB"
"56",2022,"Smoothhound Sharks_HMS Revenue",664870.62,"MAB"
"57",2022,"Swordfish_HMS Revenue",3072331.57,"MAB"
"58",2021,"BAYS_HMS Landings",1003.87169849406,"MAB"
"59",2021,"Bluefin Tuna_HMS Landings",205.608704526898,"MAB"
"60",2021,"Large Coastal Sharks_HMS Landings",91.6113104418035,"MAB"
"61",2021,"Pelagic Sharks_HMS Landings",49.2805134718316,"MAB"
"62",2021,"Small Coastal  Sharks_HMS Landings",98.8829787716591,"MAB"
"63",2021,"Smoothhound Sharks_HMS Landings",525.072856681484,"MAB"
"64",2021,"Swordfish_HMS Landings",283.148239131816,"MAB"
"65",2021,"BAYS_HMS Landings",137.301148734464,"NE"
"66",2021,"Bluefin Tuna_HMS Landings",765.366534745532,"NE"
"67",2021,"Pelagic Sharks_HMS Landings",1.418252744262,"NE"
"68",2021,"Smoothhound Sharks_HMS Landings",NA,"NE"
"69",2021,"Swordfish_HMS Landings",16.0971432459403,"NE"
"70",2021,"BAYS_HMS Revenue",10638217.20135,"MAB"
"71",2021,"Bluefin Tuna_HMS Revenue",2275558.64,"MAB"
"72",2021,"Large Coastal Sharks_HMS Revenue",136911.2,"MAB"
"73",2021,"Pelagic Sharks_HMS Revenue",96553.79,"MAB"
"74",2021,"Small Coastal  Sharks_HMS Revenue",173092.39,"MAB"
"75",2021,"Smoothhound Sharks_HMS Revenue",745207.7816,"MAB"
"76",2021,"Swordfish_HMS Revenue",2570276.009,"MAB"
"77",2021,"BAYS_HMS Revenue",1432198.2475,"NE"
"78",2021,"Bluefin Tuna_HMS Revenue",9345883.64,"NE"
"79",2021,"Pelagic Sharks_HMS Revenue",4325.82,"NE"
"80",2021,"Smoothhound Sharks_HMS Revenue",NA,"NE"
"81",2021,"Swordfish_HMS Revenue",147957.07,"NE"
"82",2020,"BAYS_HMS Landings",897.570885874989,"MAB"
"83",2020,"Bluefin Tuna_HMS Landings",200.958790710333,"MAB"
"84",2020,"Large Coastal Sharks_HMS Landings",109.790569717863,"MAB"
"85",2020,"Pelagic Sharks_HMS Landings",59.1908859657081,"MAB"
"86",2020,"Small Coastal  Sharks_HMS Landings",101.975941213826,"MAB"
"87",2020,"Smoothhound Sharks_HMS Landings",384.249261090447,"MAB"
"88",2020,"Swordfish_HMS Landings",487.543301097705,"MAB"
"89",2020,"BAYS_HMS Landings",81.8103737639481,"NE"
"90",2020,"Bluefin Tuna_HMS Landings",768.961881974054,"NE"
"91",2020,"Swordfish_HMS Landings",32.779311439717,"NE"
"92",2020,"BAYS_HMS Revenue",6497369.17,"MAB"
"93",2020,"Bluefin Tuna_HMS Revenue",1712665.34,"MAB"
"94",2020,"Large Coastal Sharks_HMS Revenue",141361.3,"MAB"
"95",2020,"Pelagic Sharks_HMS Revenue",108038.27,"MAB"
"96",2020,"Small Coastal  Sharks_HMS Revenue",183564.46,"MAB"
"97",2020,"Smoothhound Sharks_HMS Revenue",504094.38,"MAB"
"98",2020,"Swordfish_HMS Revenue",3809994.66,"MAB"
"99",2020,"BAYS_HMS Revenue",509645.08,"NE"
"100",2020,"Bluefin Tuna_HMS Revenue",6629280.51999999,"NE"
"101",2020,"Swordfish_HMS Revenue",247698.83,"NE"
"102",2019,"BAYS_HMS Landings",937.168797060691,"MAB"
"103",2019,"BAYS_HMS Revenue",7399157.4109,"MAB"
"104",2019,"Bluefin Tuna_HMS Landings",157.943396761317,"MAB"
"105",2019,"Bluefin Tuna_HMS Revenue",1625484.52,"MAB"
"106",2019,"Large Coastal Sharks_HMS Landings",107.19889322326,"MAB"
"107",2019,"Large Coastal Sharks_HMS Revenue",111900.56,"MAB"
"108",2019,"Pelagic Sharks_HMS Landings",57.6430926335843,"MAB"
"109",2019,"Pelagic Sharks_HMS Revenue",119398.047,"MAB"
"110",2019,"Small Coastal  Sharks_HMS Landings",158.621337204028,"MAB"
"111",2019,"Small Coastal  Sharks_HMS Revenue",232039.48,"MAB"
"112",2019,"Smoothhound Sharks_HMS Landings",518.369753787534,"MAB"
"113",2019,"Smoothhound Sharks_HMS Revenue",647624.187706294,"MAB"
"114",2019,"Swordfish_HMS Landings",314.974031570353,"MAB"
"115",2019,"Swordfish_HMS Revenue",2258948.9,"MAB"
"116",2019,"BAYS_HMS Landings",205.317268438719,"NE"
"117",2019,"BAYS_HMS Revenue",1483253.9,"NE"
"118",2019,"Bluefin Tuna_HMS Landings",820.364758346185,"NE"
"119",2019,"Bluefin Tuna_HMS Revenue",8098499.81,"NE"
"120",2019,"Pelagic Sharks_HMS Landings",5.68741721854305,"NE"
"121",2019,"Pelagic Sharks_HMS Revenue",13596.9,"NE"
"122",2019,"Swordfish_HMS Landings",199.483947201306,"NE"
"123",2019,"Swordfish_HMS Revenue",1291711.217,"NE"
"124",2018,"BAYS_HMS Landings",718.465145604645,"MAB"
"125",2018,"BAYS_HMS Revenue",6290138.72,"MAB"
"126",2018,"Bluefin Tuna_HMS Landings",109.112310623242,"MAB"
"127",2018,"Bluefin Tuna_HMS Revenue",1377515.6,"MAB"
"128",2018,"Large Coastal Sharks_HMS Landings",88.8296743173365,"MAB"
"129",2018,"Large Coastal Sharks_HMS Revenue",93722.68,"MAB"
"130",2018,"Pelagic Sharks_HMS Landings",66.0167830899029,"MAB"
"131",2018,"Pelagic Sharks_HMS Revenue",125233.28,"MAB"
"132",2018,"Small Coastal  Sharks_HMS Landings",134.412945659076,"MAB"
"133",2018,"Small Coastal  Sharks_HMS Revenue",194597.14,"MAB"
"134",2018,"Smoothhound Sharks_HMS Landings",588.00352898485,"MAB"
"135",2018,"Smoothhound Sharks_HMS Revenue",678717.11,"MAB"
"136",2018,"Swordfish_HMS Landings",246.185439535517,"MAB"
"137",2018,"Swordfish_HMS Revenue",1741737.6,"MAB"
"138",2018,"BAYS_HMS Landings",35.227973328495,"NE"
"139",2018,"BAYS_HMS Revenue",265492.03,"NE"
"140",2018,"Bluefin Tuna_HMS Landings",751.849315068493,"NE"
"141",2018,"Bluefin Tuna_HMS Revenue",9307575.06,"NE"
"142",2018,"Pelagic Sharks_HMS Landings",5.29735099337748,"NE"
"143",2018,"Pelagic Sharks_HMS Revenue",12757.31,"NE"
"144",2018,"Swordfish_HMS Landings",107.921337204028,"NE"
"145",2018,"Swordfish_HMS Revenue",822831.77,"NE"
"146",2017,"BAYS_HMS Landings",1182.43841966797,"MAB"
"147",2017,"BAYS_HMS Revenue",8406186.87133631,"MAB"
"148",2017,"Bluefin Tuna_HMS Landings",144.732604554114,"MAB"
"149",2017,"Bluefin Tuna_HMS Revenue",1630197.77,"MAB"
"150",2017,"Large Coastal Sharks_HMS Landings",89.2158577519731,"MAB"
"151",2017,"Large Coastal Sharks_HMS Revenue",94317.129802689,"MAB"
"152",2017,"Pelagic Sharks_HMS Landings",122.285580150594,"MAB"
"153",2017,"Pelagic Sharks_HMS Revenue",284721.209075299,"MAB"
"154",2017,"Small Coastal  Sharks_HMS Landings",115.291209289667,"MAB"
"155",2017,"Small Coastal  Sharks_HMS Revenue",173680.749921292,"MAB"
"156",2017,"Smoothhound Sharks_HMS Landings",537.837249387644,"MAB"
"157",2017,"Smoothhound Sharks_HMS Revenue",579514.574540932,"MAB"
"158",2017,"Swordfish_HMS Landings",331.274866188878,"MAB"
"159",2017,"Swordfish_HMS Revenue",2483905.31446245,"MAB"
"160",2017,"BAYS_HMS Landings",100.658046811213,"NE"
"161",2017,"BAYS_HMS Revenue",700639.762242264,"NE"
"162",2017,"Bluefin Tuna_HMS Landings",669.665756826635,"NE"
"163",2017,"Bluefin Tuna_HMS Revenue",7692372.53,"NE"
"164",2017,"Pelagic Sharks_HMS Landings",19.3939943753969,"NE"
"165",2017,"Pelagic Sharks_HMS Revenue",60626.6298449039,"NE"
"166",2017,"Smoothhound Sharks_HMS Landings",1.67876258731743,"NE"
"167",2017,"Smoothhound Sharks_HMS Revenue",2162.34997689724,"NE"
"168",2017,"Swordfish_HMS Landings",181.944125918534,"NE"
"169",2017,"Swordfish_HMS Revenue",1348020.57074213,"NE"
"170",2016,"BAYS_HMS Landings",777.570987934319,"MAB"
"171",2016,"BAYS_HMS Revenue",5013127,"MAB"
"172",2016,"Bluefin Tuna_HMS Landings",76.1158486800327,"MAB"
"173",2016,"Bluefin Tuna_HMS Revenue",1159084,"MAB"
"174",2016,"Large Coastal Sharks_HMS Landings",127.069763222353,"MAB"
"175",2016,"Large Coastal Sharks_HMS Revenue",117321,"MAB"
"176",2016,"Pelagic Sharks_HMS Landings",108.398802503856,"MAB"
"177",2016,"Pelagic Sharks_HMS Revenue",263374,"MAB"
"178",2016,"Small Coastal  Sharks_HMS Landings",109.615349723306,"MAB"
"179",2016,"Small Coastal  Sharks_HMS Revenue",148264,"MAB"
"180",2016,"Smoothhound Sharks_HMS Landings",454.19758686383,"MAB"
"181",2016,"Smoothhound Sharks_HMS Revenue",522720,"MAB"
"182",2016,"Swordfish_HMS Landings",320.684931506849,"MAB"
"183",2016,"Swordfish_HMS Revenue",2118366,"MAB"
"184",2016,"BAYS_HMS Landings",79.2987390002722,"NE"
"185",2016,"BAYS_HMS Revenue",563331,"NE"
"186",2016,"Bluefin Tuna_HMS Landings",763.177447155947,"NE"
"187",2016,"Bluefin Tuna_HMS Revenue",12053917,"NE"
"188",2016,"Pelagic Sharks_HMS Landings",23.8728113943573,"NE"
"189",2016,"Pelagic Sharks_HMS Revenue",70450,"NE"
"190",2016,"Swordfish_HMS Landings",362.57824548671,"NE"
"191",2016,"Swordfish_HMS Revenue",2274062,"NE"
"192",2015,"BAYS_HMS Landings",887.92266624331,"MAB"
"193",2015,"BAYS_HMS Revenue",6181006.50433641,"MAB"
"194",2015,"Bluefin Tuna_HMS Landings",54.5114760047174,"MAB"
"195",2015,"Bluefin Tuna_HMS Revenue",749169.5,"MAB"
"196",2015,"Large Coastal Sharks_HMS Landings",77.3561779914724,"MAB"
"197",2015,"Large Coastal Sharks_HMS Revenue",78829.0401903726,"MAB"
"198",2015,"Pelagic Sharks_HMS Landings",98.2717545132904,"MAB"
"199",2015,"Pelagic Sharks_HMS Revenue",228144.590695191,"MAB"
"200",2015,"Small Coastal  Sharks_HMS Landings",127.152308808854,"MAB"
"201",2015,"Small Coastal  Sharks_HMS Revenue",144394.592018187,"MAB"
"202",2015,"Smoothhound Sharks_HMS Landings",593.085094801778,"MAB"
"203",2015,"Smoothhound Sharks_HMS Revenue",594476.206408279,"MAB"
"204",2015,"Swordfish_HMS Landings",415.344584958723,"MAB"
"205",2015,"Swordfish_HMS Revenue",2906364.51392646,"MAB"
"206",2015,"BAYS_HMS Landings",173.341009706976,"NE"
"207",2015,"BAYS_HMS Revenue",946169.298938543,"NE"
"208",2015,"Bluefin Tuna_HMS Landings",688.98122108319,"NE"
"209",2015,"Bluefin Tuna_HMS Revenue",7779472.37,"NE"
"210",2015,"Pelagic Sharks_HMS Landings",24.038437811848,"NE"
"211",2015,"Pelagic Sharks_HMS Revenue",60260.8701329231,"NE"
"212",2015,"Swordfish_HMS Landings",452.972589131815,"NE"
"213",2015,"Swordfish_HMS Revenue",2374911.90084696,"NE"
