"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1994,301,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"2",2011,32,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"3",2017,358,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"4",2019,37,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"5",2020,460,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"6",2021,174,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"7",2023,186,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
"8",2024,214,"Recreational","Socioeconomic","total_recreational_catch_n","n","PORBEAGLE"
