"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1988,161,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BIGEYE THRESHER","NORTH ATLANTIC"
1981,1683,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1983,6192,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1984,159,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1986,2369,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1987,735,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1988,2123,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1989,1178,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1990,16,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1991,1122,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1992,206,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1993,4324,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1994,258,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1995,285,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1996,420,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1997,328,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1998,387,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1999,1443,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2000,259,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2003,46,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2005,176,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2006,569,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2010,221,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2013,293,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2014,3639,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2017,179,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2018,3368,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2019,14,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2021,108,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2023,24,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1991,297,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","NORTH ATLANTIC"
2023,171,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","NORTH ATLANTIC"
1994,301,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2011,32,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2017,358,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2019,37,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2020,460,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2021,174,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2023,186,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2024,214,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
1984,658,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1987,257,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1997,1402,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
2018,3204,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1983,2238,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1987,801,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1992,160,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1999,983,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1981,1213,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1986,933,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1988,1337,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
