"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1989,532,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1990,441,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1991,411,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1992,300,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1993,3601,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1994,1361,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1995,440,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1996,102,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1997,76,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1998,884,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1999,4,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2000,86,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2001,515,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2002,36,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2003,46,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2005,5102,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2007,698,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2009,163,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2010,105,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2011,174,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2012,183,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2014,4230,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2015,258,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2016,699,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2017,522,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2018,409,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2020,378,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2021,7,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SPINNER SHARK","NORTH ATLANTIC"
1988,89,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1989,42,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1990,127,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1994,90,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1995,118,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2007,996,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2008,564,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2014,303,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2017,314,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2018,3,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2019,1006,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2022,443,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2024,4642,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1984,918,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC ANGEL SHARK","MID-ATLANTIC"
1985,4567,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1986,1927,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,621,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1991,400,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1992,278,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1998,1237,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2008,459,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2009,287,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2010,4204,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2014,94,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2016,1919,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2017,927,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2018,834,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2019,1244,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2020,1838,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2021,1414,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
2022,37,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","ATLANTIC SHARPNOSE SHARK","MID-ATLANTIC"
1989,254,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BASKING SHARK","MID-ATLANTIC"
1992,896,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKNOSE SHARK","MID-ATLANTIC"
1986,46,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1989,4356,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1990,228,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1991,575,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1994,1863,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1995,1351,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2001,2497,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2004,1603,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2007,4863,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2008,197,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1981,3664,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1983,8335,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1984,456,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1985,12082,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1986,19726,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1987,38981,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1988,10997,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1989,6135,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1990,1445,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1991,869,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1992,8831,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1993,4442,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1994,1011,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1996,27262,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1997,15570,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1998,10403,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1999,13052,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2000,10503,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2001,1589,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2003,1038,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2007,2350,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2008,228,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2010,1220,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2013,3812,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2015,34363,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1981,156,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1982,5828,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1992,5034,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2011,2123,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2013,140,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2017,3750,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1981,3673,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1982,10743,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1983,3738,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1984,20986,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1985,14440,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1986,15691,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1987,11889,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1988,17521,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1989,11052,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1990,6483,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1991,3575,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1992,6385,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1994,6781,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1995,8614,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1996,1147,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1997,8266,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1998,3831,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1999,19373,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2001,6492,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2002,3945,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2003,2798,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2005,5857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2008,5710,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1986,21211,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1988,58781,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1982,30,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1986,74,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1989,2934,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1994,3534,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1981,851,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1987,1038,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1986,1363,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1987,640,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1989,18,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","OCEANIC WHITETIP SHARK","MID-ATLANTIC"
1981,25029,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1982,47680,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1983,93911,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1985,15454,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1986,1771,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1987,14890,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1988,938,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1989,1315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1993,3232,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1995,628,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1996,200,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1981,25006,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1982,20049,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1983,195379,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1984,9893,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1985,35552,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1986,101968,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1987,7579,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1988,25522,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1989,5316,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1990,25509,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1991,15117,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1992,64043,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1993,22257,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1994,12274,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1995,22693,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1996,12931,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1997,27334,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1998,28829,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1999,17048,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2000,13155,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2001,34032,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2002,9922,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2003,4236,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2004,2733,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2005,999,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2006,7,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2007,3138,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2008,4838,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2009,14697,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2010,3735,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2012,998,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2013,810,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2014,992,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2017,1907,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2019,792,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2020,237,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2009,12,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SCALLOPED HAMMERHEAD SHARK","MID-ATLANTIC"
