"","Time","Value","Var","Units","Species"
"96",1997,2033,"total_recreational_catch_n","n","SANDBAR SHARK"
"97",1998,2335,"total_recreational_catch_n","n","SANDBAR SHARK"
"98",1999,10048,"total_recreational_catch_n","n","SANDBAR SHARK"
"99",2000,593,"total_recreational_catch_n","n","SANDBAR SHARK"
"100",2001,22323,"total_recreational_catch_n","n","SANDBAR SHARK"
"101",2002,350,"total_recreational_catch_n","n","SANDBAR SHARK"
"102",2007,743,"total_recreational_catch_n","n","SANDBAR SHARK"
"103",2009,1446,"total_recreational_catch_n","n","SANDBAR SHARK"
"104",2011,9946,"total_recreational_catch_n","n","SANDBAR SHARK"
"105",2013,1505,"total_recreational_catch_n","n","SANDBAR SHARK"
"106",2015,15906,"total_recreational_catch_n","n","SANDBAR SHARK"
"107",2016,1106,"total_recreational_catch_n","n","SANDBAR SHARK"
"108",2017,9,"total_recreational_catch_n","n","SANDBAR SHARK"
"109",2019,1074,"total_recreational_catch_n","n","SANDBAR SHARK"
"110",2020,8296,"total_recreational_catch_n","n","SANDBAR SHARK"
"111",2021,1,"total_recreational_catch_n","n","SANDBAR SHARK"
"112",2022,16993,"total_recreational_catch_n","n","SANDBAR SHARK"
"113",2023,1355,"total_recreational_catch_n","n","SANDBAR SHARK"
"114",2024,139529,"total_recreational_catch_n","n","SANDBAR SHARK"
"115",2019,28,"total_recreational_catch_n","n","SCALLOPED HAMMERHEAD SHARK"
"116",1981,3149,"total_recreational_catch_n","n","SHORTFIN MAKO"
"117",1986,933,"total_recreational_catch_n","n","SHORTFIN MAKO"
"118",1988,1453,"total_recreational_catch_n","n","SHORTFIN MAKO"
"119",1989,532,"total_recreational_catch_n","n","SHORTFIN MAKO"
"120",1990,441,"total_recreational_catch_n","n","SHORTFIN MAKO"
"121",1991,598,"total_recreational_catch_n","n","SHORTFIN MAKO"
"122",1992,304,"total_recreational_catch_n","n","SHORTFIN MAKO"
"123",1993,3801,"total_recreational_catch_n","n","SHORTFIN MAKO"
"124",1994,1361,"total_recreational_catch_n","n","SHORTFIN MAKO"
"125",1995,1054,"total_recreational_catch_n","n","SHORTFIN MAKO"
"126",1996,446,"total_recreational_catch_n","n","SHORTFIN MAKO"
"127",1997,560,"total_recreational_catch_n","n","SHORTFIN MAKO"
"128",1998,884,"total_recreational_catch_n","n","SHORTFIN MAKO"
"129",1999,4,"total_recreational_catch_n","n","SHORTFIN MAKO"
"130",2000,86,"total_recreational_catch_n","n","SHORTFIN MAKO"
"131",2001,1063,"total_recreational_catch_n","n","SHORTFIN MAKO"
"132",2002,36,"total_recreational_catch_n","n","SHORTFIN MAKO"
"133",2003,46,"total_recreational_catch_n","n","SHORTFIN MAKO"
"134",2004,142,"total_recreational_catch_n","n","SHORTFIN MAKO"
"135",2005,5206,"total_recreational_catch_n","n","SHORTFIN MAKO"
"136",2006,51,"total_recreational_catch_n","n","SHORTFIN MAKO"
"137",2007,698,"total_recreational_catch_n","n","SHORTFIN MAKO"
"138",2009,163,"total_recreational_catch_n","n","SHORTFIN MAKO"
"139",2010,207,"total_recreational_catch_n","n","SHORTFIN MAKO"
"140",2011,664,"total_recreational_catch_n","n","SHORTFIN MAKO"
"141",2012,183,"total_recreational_catch_n","n","SHORTFIN MAKO"
"142",2013,834,"total_recreational_catch_n","n","SHORTFIN MAKO"
"143",2014,4267,"total_recreational_catch_n","n","SHORTFIN MAKO"
"144",2015,639,"total_recreational_catch_n","n","SHORTFIN MAKO"
"145",2016,2730,"total_recreational_catch_n","n","SHORTFIN MAKO"
"146",2017,767,"total_recreational_catch_n","n","SHORTFIN MAKO"
"147",2018,1639,"total_recreational_catch_n","n","SHORTFIN MAKO"
"148",2019,1632,"total_recreational_catch_n","n","SHORTFIN MAKO"
"149",2020,3139,"total_recreational_catch_n","n","SHORTFIN MAKO"
"150",2021,3048,"total_recreational_catch_n","n","SHORTFIN MAKO"
"151",2022,1939,"total_recreational_catch_n","n","SHORTFIN MAKO"
"152",2023,739,"total_recreational_catch_n","n","SHORTFIN MAKO"
"153",2024,5820,"total_recreational_catch_n","n","SHORTFIN MAKO"
"154",2018,9,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"155",2021,7,"total_recreational_catch_n","n","SPINNER SHARK"
"156",1988,89,"total_recreational_catch_n","n","THRESHER SHARK"
"157",1989,42,"total_recreational_catch_n","n","THRESHER SHARK"
"158",1990,127,"total_recreational_catch_n","n","THRESHER SHARK"
"159",1994,90,"total_recreational_catch_n","n","THRESHER SHARK"
"160",1995,118,"total_recreational_catch_n","n","THRESHER SHARK"
"161",1997,333,"total_recreational_catch_n","n","THRESHER SHARK"
"162",1999,13,"total_recreational_catch_n","n","THRESHER SHARK"
"163",2007,1280,"total_recreational_catch_n","n","THRESHER SHARK"
"164",2008,564,"total_recreational_catch_n","n","THRESHER SHARK"
"165",2012,128,"total_recreational_catch_n","n","THRESHER SHARK"
"166",2014,303,"total_recreational_catch_n","n","THRESHER SHARK"
"167",2015,3699,"total_recreational_catch_n","n","THRESHER SHARK"
"168",2016,3048,"total_recreational_catch_n","n","THRESHER SHARK"
"169",2017,314,"total_recreational_catch_n","n","THRESHER SHARK"
"170",2018,1299,"total_recreational_catch_n","n","THRESHER SHARK"
"171",2019,1622,"total_recreational_catch_n","n","THRESHER SHARK"
"172",2021,86,"total_recreational_catch_n","n","THRESHER SHARK"
"173",2022,1121,"total_recreational_catch_n","n","THRESHER SHARK"
"174",2023,336,"total_recreational_catch_n","n","THRESHER SHARK"
"175",2024,4836,"total_recreational_catch_n","n","THRESHER SHARK"
"176",1993,1848,"total_recreational_catch_n","n","TIGER SHARK"
"177",2019,300,"total_recreational_catch_n","n","TIGER SHARK"
"178",2023,662,"total_recreational_catch_n","n","WHITE SHARK"
"179",2024,27,"total_recreational_catch_n","n","WHITE SHARK"
